ID,fracAGN
CDFS_12875,0.0
CDFS_12885,0.0
CDFS_12891,0.3
CDFS_12893,0.4
CDFS_12900,0.0
CDFS_12909,0.0
CDFS_12914,0.2
CDFS_12927,0.1
CDFS_12928,0.01
CDFS_12930,0.2
CDFS_12931,0.0
CDFS_12933,0.0
CDFS_12944,0.0
CDFS_12953,0.0
CDFS_12959,0.1
CDFS_12964,0.0
CDFS_12967,0.0
CDFS_12976,0.0
CDFS_12985,0.0
CDFS_12988,0.1
CDFS_12991,0.2
CDFS_13006,0.0
CDFS_13008,0.0
CDFS_13015,0.0
CDFS_13025,0.3
CDFS_13031,0.3
CDFS_13038,0.01
CDFS_13047,0.0
CDFS_13054,0.0
CDFS_13069,0.0
CDFS_13070,0.0
CDFS_13074,0.0
CDFS_13077,0.0
CDFS_13078,0.01
CDFS_13082,0.6
CDFS_13085,0.01
CDFS_13095,0.0
CDFS_13106,0.01
CDFS_13111,0.2
CDFS_13112,0.3
CDFS_13114,0.1
CDFS_13117,0.01
CDFS_13125,0.4
CDFS_13130,0.2
CDFS_13132,0.01
CDFS_13133,0.1
CDFS_13134,0.0
CDFS_13143,0.3
CDFS_13158,0.0
CDFS_13163,0.0
CDFS_13165,0.1
CDFS_13166,0.0
CDFS_13177,0.01
CDFS_13184,0.0
CDFS_13193,0.01
CDFS_13209,0.0
CDFS_13211,0.0
CDFS_13218,0.0
CDFS_13221,0.2
CDFS_13233,0.0
CDFS_13238,0.0
CDFS_13239,0.3
CDFS_13240,0.01
CDFS_13246,0.0
CDFS_13250,0.1
CDFS_13257,0.1
CDFS_13260,0.0
CDFS_13271,0.6
CDFS_13289,0.1
CDFS_13293,0.4
CDFS_13296,0.0
CDFS_13297,0.0
CDFS_13300,0.01
CDFS_13313,0.1
CDFS_13322,0.0
CDFS_13324,0.0
CDFS_13325,0.0
CDFS_13341,0.0
CDFS_13347,0.0
CDFS_13360,0.0
CDFS_13361,0.0
CDFS_13370,0.3
CDFS_13373,0.1
CDFS_13379,0.1
CDFS_13382,0.01
CDFS_13385,0.0
CDFS_13390,0.1
CDFS_13392,0.2
CDFS_13394,0.7
CDFS_13396,0.01
CDFS_13401,0.0
CDFS_13404,0.01
CDFS_13405,0.0
CDFS_13407,0.0
CDFS_13421,0.0
CDFS_13423,0.3
CDFS_13426,0.0
CDFS_13436,0.0
CDFS_13437,0.3
CDFS_13443,0.01
CDFS_13444,0.1
CDFS_13459,0.0
CDFS_13464,0.0
CDFS_13465,0.2
CDFS_13467,0.01
CDFS_13470,0.4
CDFS_13475,0.2
CDFS_13484,0.0
CDFS_13498,0.4
CDFS_13501,0.0
CDFS_13504,0.0
CDFS_13516,0.0
CDFS_13518,0.3
CDFS_13519,0.01
CDFS_13520,0.0
CDFS_13521,0.0
CDFS_13522,0.0
CDFS_13536,0.0
CDFS_13543,0.1
CDFS_13546,0.0
CDFS_13556,0.2
CDFS_13567,0.0
CDFS_13584,0.0
CDFS_13590,0.01
CDFS_13592,0.1
CDFS_13598,0.0
CDFS_13601,0.01
CDFS_13603,0.3
CDFS_13608,0.0
CDFS_13616,0.1
CDFS_13617,0.0
CDFS_13629,0.2
CDFS_13630,0.0
CDFS_13635,0.3
CDFS_13637,0.0
CDFS_13664,0.0
CDFS_13675,0.1
CDFS_13687,0.0
CDFS_13694,0.1
CDFS_13695,0.1
CDFS_13699,0.01
CDFS_13706,0.0
CDFS_13747,0.0
CDFS_13719,0.5
CDFS_13724,0.0
CDFS_13735,0.01
CDFS_13736,0.1
CDFS_13738,0.3
CDFS_13748,0.0
CDFS_13753,0.0
CDFS_13759,0.0
CDFS_13768,0.0
CDFS_13777,0.01
CDFS_13783,0.0
CDFS_13789,0.0
CDFS_13795,0.0
CDFS_13806,0.0
CDFS_13811,0.0
CDFS_13812,0.0
CDFS_13813,0.1
CDFS_13814,0.0
CDFS_13821,0.1
CDFS_13822,0.0
CDFS_13829,0.1
CDFS_13832,0.0
CDFS_13836,0.01
CDFS_13840,0.0
CDFS_13845,0.0
CDFS_13851,0.01
CDFS_13853,0.01
CDFS_13864,0.0
CDFS_13866,0.0
CDFS_13868,0.1
CDFS_13876,0.01
CDFS_13877,0.01
CDFS_13878,0.0
CDFS_13879,0.2
CDFS_13885,0.0
CDFS_13891,0.0
CDFS_13893,0.0
CDFS_13901,0.3
CDFS_13902,0.0
CDFS_13903,0.0
CDFS_13905,0.01
CDFS_13910,0.0
CDFS_13919,0.5
CDFS_13920,0.01
CDFS_13926,0.1
CDFS_13931,0.0
CDFS_13935,0.1
CDFS_13945,0.0
CDFS_13950,0.01
CDFS_13956,0.0
CDFS_13959,0.0
CDFS_13960,0.0
CDFS_13962,0.0
CDFS_13963,0.1
CDFS_13977,0.1
CDFS_13985,0.2
CDFS_13986,0.3
CDFS_13987,0.0
CDFS_13991,0.0
CDFS_14009,0.0
CDFS_14016,0.0
CDFS_14018,0.2
CDFS_14019,0.5
CDFS_14020,0.0
CDFS_14024,0.0
CDFS_14031,0.1
CDFS_14032,0.0
CDFS_14035,0.5
CDFS_14037,0.0
CDFS_14043,0.0
CDFS_14049,0.2
CDFS_14056,0.0
CDFS_14059,0.0
CDFS_14066,0.0
CDFS_14076,0.3
CDFS_14080,0.0
CDFS_14087,0.0
CDFS_14089,0.0
CDFS_14096,0.2
CDFS_14098,0.0
CDFS_14101,0.2
CDFS_14105,0.1
CDFS_14106,0.1
CDFS_14108,0.0
CDFS_14124,0.6
CDFS_14131,0.3
CDFS_14148,0.0
CDFS_14151,0.0
CDFS_14156,0.0
CDFS_14158,0.0
CDFS_14159,0.2
CDFS_14163,0.5
CDFS_14166,0.1
CDFS_14180,0.1
CDFS_14196,0.3
CDFS_14207,0.0
CDFS_14211,0.01
CDFS_14214,0.1
CDFS_14226,0.7
CDFS_14228,0.2
CDFS_14236,0.2
CDFS_14240,0.01
CDFS_14244,0.1
CDFS_14245,0.0
CDFS_14248,0.4
CDFS_14254,0.0
CDFS_14262,0.1
CDFS_14270,0.4
CDFS_14271,0.0
CDFS_14279,0.0
CDFS_14290,0.0
CDFS_14293,0.1
CDFS_14303,0.0
CDFS_14314,0.0
CDFS_14319,0.2
CDFS_14327,0.0
CDFS_14338,0.1
CDFS_14344,0.0
CDFS_14349,0.0
CDFS_14352,0.0
CDFS_14367,0.0
CDFS_14369,0.0
CDFS_14381,0.01
CDFS_14382,0.0
CDFS_14383,0.0
CDFS_14395,0.01
CDFS_14403,0.0
CDFS_14416,0.0
CDFS_14424,0.0
CDFS_14428,0.1
CDFS_14429,0.0
CDFS_14430,0.1
CDFS_14443,0.0
CDFS_14444,0.1
CDFS_14454,0.0
CDFS_14460,0.1
CDFS_14465,0.01
CDFS_14472,0.5
CDFS_14485,0.0
CDFS_14486,0.1
CDFS_14491,0.0
CDFS_14496,0.0
CDFS_14504,0.0
CDFS_14505,0.0
CDFS_14510,0.1
CDFS_14525,0.0
CDFS_14534,0.01
CDFS_14543,0.01
CDFS_14545,0.0
CDFS_14546,0.01
CDFS_14551,0.0
CDFS_14563,0.3
CDFS_14579,0.1
CDFS_14580,0.5
CDFS_14581,0.0
CDFS_14586,0.01
CDFS_14590,0.1
CDFS_14597,0.0
CDFS_14604,0.0
CDFS_14612,0.2
CDFS_14613,0.0
CDFS_14614,0.2
CDFS_14616,0.0
CDFS_14619,0.0
CDFS_14634,0.3
CDFS_14637,0.0
CDFS_14643,0.0
CDFS_14646,0.0
CDFS_14647,0.1
CDFS_14650,0.0
CDFS_14652,0.0
CDFS_14653,0.0
CDFS_14655,0.1
CDFS_14659,0.0
CDFS_14663,0.0
CDFS_14669,0.01
CDFS_14677,0.5
CDFS_14680,0.2
CDFS_14681,0.01
CDFS_14688,0.0
CDFS_14697,0.6
CDFS_14698,0.0
CDFS_14723,0.6
CDFS_14728,0.2
CDFS_14732,0.1
CDFS_14733,0.1
CDFS_14741,0.5
CDFS_14743,0.0
CDFS_14745,0.01
CDFS_14748,0.01
CDFS_14749,0.0
CDFS_14765,0.1
CDFS_14770,0.0
CDFS_14782,0.01
CDFS_14794,0.2
CDFS_14796,0.2
CDFS_14797,0.0
CDFS_14799,0.0
CDFS_14800,0.2
CDFS_14806,0.01
CDFS_14813,0.0
CDFS_14816,0.4
CDFS_14819,0.01
CDFS_14822,0.0
CDFS_14834,0.0
CDFS_14845,0.0
CDFS_14851,0.4
CDFS_14856,0.0
CDFS_14857,0.0
CDFS_14862,0.0
CDFS_14866,0.01
CDFS_14870,0.0
CDFS_14881,0.3
CDFS_14887,0.7
CDFS_14890,0.0
CDFS_14904,0.0
CDFS_14913,0.1
CDFS_14939,0.1
CDFS_14950,0.5
CDFS_14955,0.0
CDFS_14957,0.0
CDFS_14960,0.0
CDFS_14966,0.0
CDFS_14968,0.1
CDFS_14969,0.0
CDFS_14975,0.1
CDFS_14978,0.0
CDFS_14989,0.2
CDFS_14994,0.4
CDFS_15001,0.0
CDFS_15003,0.0
CDFS_15008,0.0
CDFS_15011,0.1
CDFS_15012,0.0
CDFS_15013,0.3
CDFS_15021,0.0
CDFS_15036,0.1
CDFS_15039,0.0
CDFS_15049,0.0
CDFS_15052,0.0
CDFS_15056,0.0
CDFS_15065,0.01
CDFS_15073,0.0
CDFS_15081,0.9
CDFS_15085,0.0
CDFS_15091,0.0
CDFS_15093,0.0
CDFS_15098,0.2
CDFS_15102,0.8
CDFS_15112,0.0
CDFS_15119,0.0
CDFS_15122,0.0
CDFS_15126,0.01
CDFS_15127,0.3
CDFS_15132,0.2
CDFS_15134,0.0
CDFS_15146,0.1
CDFS_15153,0.2
CDFS_15175,0.5
CDFS_15178,0.0
CDFS_15183,0.01
CDFS_15190,0.01
CDFS_15194,0.0
CDFS_15200,0.8
CDFS_15203,0.0
CDFS_15204,0.1
CDFS_15207,0.0
CDFS_15211,0.1
CDFS_15215,0.0
