ID,U_Full,V_Full,J_Full,U_Decomposed,V_Decomposed,J_Decomposed,zpk
UDS_6581,-101.58892829876496,-102.42635730887787,-102.97374500964452,-101.31618578818008,-102.27218305024068,-102.82992662738107,1.3665
UDS_6582,-103.44483478417857,-104.18733876666877,-104.62589949450975,-103.44483478417857,-104.18733876666877,-104.62589949450975,1.4259
UDS_6583,-101.43099140894472,-102.27346290250118,-102.80557738249041,-101.20028245386221,-102.11345666584103,-102.62155485909949,0.8833
UDS_6584,-102.67457804286643,-103.4869757758803,-103.98548444004626,-102.67457804286643,-103.4869757758803,-103.98548444004626,0.6553
UDS_6592,-102.51041996968394,-103.29545674717454,-104.04371895616526,-102.51017829036043,-103.29216780467098,-103.98633799159919,1.6654
UDS_6598,-104.9646588954444,-105.46556612445194,-105.84168203591234,-104.58077315421826,-105.09065711865064,-105.31641070402513,2.8657
UDS_6603,-101.71785684594524,-102.36388692006886,-102.69171560140825,-101.71729299662917,-102.363231708312,-102.68727539947525,0.9298
UDS_6604,-103.67958908890199,-104.18947305333434,-104.41522663870883,-103.67958908890199,-104.18947305333434,-104.41522663870883,1.587
UDS_6607,-101.75613491782669,-102.7124083935,-103.27177490449728,-101.75598190590546,-102.71197916796606,-103.2697227451064,0.2736
UDS_6610,-102.59956691022202,-103.10809909169492,-103.3577872203186,-102.54956825205215,-103.05945221648454,-103.28520580185901,1.2535
UDS_6620,-101.58192450682036,-102.18759199483401,-102.48197804884367,-101.58192450682036,-102.18759199483401,-102.48197804884367,0.9258
UDS_6625,-103.427464296127,-103.76708933334392,-103.8444697089979,-103.427464296127,-103.76708933334392,-103.8444697089979,2.5186
UDS_6640,-102.69255518019898,-102.9188719809122,-102.98876527447413,-102.69255518019898,-102.9188719809122,-102.98876527447413,1.166
UDS_6641,-101.03381037650286,-101.67980932659547,-102.00635010945385,-101.03343864940899,-101.67937736109182,-102.00342105225508,0.604
UDS_6644,-101.9938772529782,-102.63981596466104,-102.9638596558243,-101.9938772529782,-102.63981596466104,-102.9638596558243,1.4559
UDS_6646,-101.54473816957298,-102.21684394532865,-102.60497124070318,-101.54463544042328,-102.2167274076059,-102.60422524332141,0.7735
UDS_6647,-104.92359282481556,-105.4334902822842,-105.65960416753931,-104.92355028865,-105.43343425308238,-105.65918783845686,0.914
