id,z,field
9511,0.9677,cdfs
9512,3.2048,cdfs
9513,0.8462,cdfs
9514,1.8103,cdfs
9517,3.5257,cdfs
9519,1.9193,cdfs
9522,1.9755,cdfs
9523,0.7583,cdfs
9526,0.7954,cdfs
9527,0.4825,cdfs
9532,1.325,cdfs
9533,2.5526,cdfs
9535,4.2461,cdfs
9538,0.7658,cdfs
9539,2.3234,cdfs
9540,0.3931,cdfs
9547,3.1833,cdfs
9552,0.8371,cdfs
9553,2.2879,cdfs
9554,0.4297,cdfs
9562,0.7356,cdfs
9564,1.0461,cdfs
9565,0.7611,cdfs
9567,0.9605,cdfs
9568,1.4141,cdfs
9572,0.2972,cdfs
9573,3.9433,cdfs
9574,1.5558,cdfs
9575,0.4268,cdfs
9576,3.3028,cdfs
9577,0.9479,cdfs
9578,0.9382,cdfs
9579,0.9265,cdfs
9580,1.1317,cdfs
9581,0.754,cdfs
9582,1.7459,cdfs
9583,2.0503,cdfs
9584,2.9018,cdfs
9585,2.0555,cdfs
9586,3.1017,cdfs
9589,0.6474,cdfs
9590,0.7344,cdfs
9591,2.3162,cdfs
9596,1.4961,cdfs
9597,1.8334,cdfs
9599,3.0518,cdfs
9609,1.9186,cdfs
9611,2.0704,cdfs
9612,2.1117,cdfs
9618,1.7832,cdfs
9620,1.8581,cdfs
9629,0.9665,cdfs
9631,3.6696,cdfs
9635,0.8827,cdfs
9639,3.144,cdfs
9643,0.402,cdfs
9644,1.7519,cdfs
9645,1.6407,cdfs
9647,2.1414,cdfs
9649,1.4941,cdfs
9652,3.1225,cdfs
9653,3.7295,cdfs
9654,4.7798,cdfs
9657,2.7253,cdfs
9658,3.6341,cdfs
9659,0.8889,cdfs
9660,1.1379,cdfs
9664,0.8948,cdfs
9666,1.6364,cdfs
9668,0.8587,cdfs
9670,1.6414,cdfs
9671,0.5097,cdfs
9673,1.3367,cdfs
9674,1.179,cdfs
9681,3.2566,cdfs
9682,1.7374,cdfs
9683,1.0276,cdfs
9686,1.7758,cdfs
9690,3.8084,cdfs
9691,2.6126,cdfs
9698,3.2255,cdfs
9700,1.2634,cdfs
9702,2.7886,cdfs
9705,1.6468,cdfs
9708,1.3216,cdfs
9714,2.3655,cdfs
9720,1.2732,cdfs
9722,2.6216,cdfs
9725,1.0235,cdfs
9728,2.257,cdfs
9730,0.7664,cdfs
9744,1.0351,cdfs
9731,1.2816,cdfs
9732,2.0011,cdfs
9733,0.6236,cdfs
9736,1.2531,cdfs
9737,3.7675,cdfs
9739,3.8342,cdfs
9746,1.0028,cdfs
9747,3.6914,cdfs
9749,2.666,cdfs
9750,0.6953,cdfs
9751,2.3204,cdfs
9753,3.0133,cdfs
9754,1.2247,cdfs
9755,0.7453,cdfs
9758,1.9057,cdfs
9759,0.2816,cdfs
9761,0.6961,cdfs
9766,1.5147,cdfs
9768,2.0272,cdfs
9770,0.9265,cdfs
9772,0.9223,cdfs
9774,0.2416,cdfs
9776,1.5698,cdfs
9778,0.513,cdfs
9783,3.2086,cdfs
9792,2.6727,cdfs
9795,0.638,cdfs
9796,1.3294,cdfs
9797,0.652,cdfs
9799,1.5189,cdfs
9801,2.7864,cdfs
9803,2.5859,cdfs
9805,3.1424,cdfs
9808,1.7784,cdfs
9818,3.0927,cdfs
9820,0.4679,cdfs
9824,1.9604,cdfs
9825,1.9264,cdfs
9827,0.6149,cdfs
9833,3.5568,cdfs
9836,0.7634,cdfs
9837,0.2206,cdfs
9840,0.2511,cdfs
9842,0.7668,cdfs
9844,4.1953,cdfs
9845,3.4747,cdfs
9846,0.9057,cdfs
9847,0.6963,cdfs
9853,2.8033,cdfs
9856,0.7197,cdfs
9859,1.9964,cdfs
9860,1.5631,cdfs
9861,2.5533,cdfs
9862,2.4035,cdfs
9863,3.0891,cdfs
9869,1.0469,cdfs
9872,3.4162,cdfs
9873,1.255,cdfs
9874,1.5493,cdfs
9875,4.2678,cdfs
9878,1.3722,cdfs
9882,1.395,cdfs
9883,3.7077,cdfs
9885,0.9182,cdfs
9887,3.8119,cdfs
9889,0.5476,cdfs
9890,1.0556,cdfs
9893,1.9644,cdfs
9894,2.6481,cdfs
9899,0.2628,cdfs
9902,1.945,cdfs
9904,0.7563,cdfs
9906,0.5076,cdfs
9907,1.164,cdfs
9911,1.2259,cdfs
9913,2.5808,cdfs
9915,0.6867,cdfs
9916,2.0129,cdfs
9918,0.8834,cdfs
9921,0.6827,cdfs
9924,2.6103,cdfs
9925,3.4985,cdfs
9928,1.4963,cdfs
9929,0.4195,cdfs
9930,3.5035,cdfs
9932,3.6755,cdfs
9935,0.4681,cdfs
9936,0.9241,cdfs
9939,1.5242,cdfs
9943,1.7162,cdfs
9945,1.4046,cdfs
9946,0.665,cdfs
9947,1.367,cdfs
9948,0.8557,cdfs
9957,1.3169,cdfs
9959,0.7767,cdfs
9961,2.7477,cdfs
9964,0.6665,cdfs
9965,3.3254,cdfs
9966,1.0708,cdfs
9967,1.1641,cdfs
9969,0.3956,cdfs
9970,2.6128,cdfs
9971,1.7716,cdfs
9974,0.7378,cdfs
9975,2.1548,cdfs
9978,3.2821,cdfs
9983,1.8737,cdfs
9988,0.6123,cdfs
9992,0.7629,cdfs
9994,1.9942,cdfs
9995,4.641,cdfs
9999,1.6903,cdfs
10002,0.3922,cdfs
10003,1.6024,cdfs
10004,0.1358,cdfs
10005,1.7572,cdfs
10008,3.0603,cdfs
10009,0.1462,cdfs
10010,3.2957,cdfs
10011,0.78,cdfs
10013,3.0647,cdfs
10018,2.57,cdfs
10019,1.3512,cdfs
10020,1.1936,cdfs
10022,0.4856,cdfs
10024,3.7572,cdfs
10028,1.3215,cdfs
10029,1.1036,cdfs
10031,1.9639,cdfs
10032,1.0506,cdfs
10035,3.4614,cdfs
10037,1.5758,cdfs
10038,4.8291,cdfs
10039,1.1017,cdfs
10040,0.6194,cdfs
10041,3.2833,cdfs
10042,1.0382,cdfs
10044,0.7652,cdfs
10045,0.8782,cdfs
10050,3.1274,cdfs
10051,1.866,cdfs
10055,2.8179,cdfs
10056,0.8433,cdfs
10059,1.2041,cdfs
10060,2.0103,cdfs
10062,0.4304,cdfs
10065,1.5744,cdfs
10066,3.1113,cdfs
10067,0.2418,cdfs
10068,3.3325,cdfs
10072,0.3538,cdfs
10073,0.7402,cdfs
10074,1.4316,cdfs
10077,0.4242,cdfs
10078,1.6285,cdfs
10086,1.5832,cdfs
10087,4.2458,cdfs
10088,0.1077,cdfs
10090,2.3346,cdfs
10092,3.1198,cdfs
10094,0.4084,cdfs
10100,1.2046,cdfs
10101,1.134,cdfs
10104,0.3016,cdfs
10105,0.2512,cdfs
10107,0.5691,cdfs
10109,2.5092,cdfs
10113,1.5355,cdfs
10114,0.4672,cdfs
10115,0.7108,cdfs
10116,0.7021,cdfs
10117,2.0222,cdfs
10119,0.745,cdfs
10120,2.9162,cdfs
10122,0.179,cdfs
10123,2.857,cdfs
10126,0.7613,cdfs
10129,0.1202,cdfs
10130,2.2127,cdfs
10131,2.6124,cdfs
10135,1.3863,cdfs
10136,0.7886,cdfs
10137,0.5531,cdfs
10138,0.9077,cdfs
10139,0.9162,cdfs
10140,1.5285,cdfs
