lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
6670.0,1.0405128700696446e-08
6690.0,1.0364855429059162e-08
6710.0,1.0324582157421878e-08
6730.0,1.0284308885784594e-08
6750.0,1.024403561414731e-08
6770.0,1.0203762342510026e-08
6790.0,1.0163489070872742e-08
6810.0,1.0123215799235458e-08
6830.0,1.0082942527598175e-08
6850.0,1.004266925596089e-08
6870.0,1.0002395984323607e-08
6890.0,9.962122712686323e-09
6910.0,9.921849441049039e-09
6930.0,9.881576169411755e-09
6950.0,9.841302897774471e-09
6970.0,9.801029626137188e-09
6990.0,9.760756354499904e-09
7010.0,9.72048308286262e-09
7030.0,9.680209811225336e-09
7050.0,9.639936539588052e-09
7070.0,9.599663267950768e-09
7090.0,9.559389996313483e-09
7110.0,9.519116724676199e-09
7130.0,9.478843453038915e-09
7150.0,9.438570181401631e-09
7170.0,9.398296909764347e-09
7190.0,9.358023638127063e-09
7210.0,9.31775036648978e-09
7230.0,9.277477094852496e-09
7250.0,9.237203823215212e-09
7270.0,9.196930551577928e-09
7290.0,9.156657279940644e-09
7310.0,9.11638400830336e-09
7330.0,9.076110736666076e-09
7350.0,9.035837465028792e-09
7370.0,8.995564193391509e-09
7390.0,8.955290921754225e-09
7410.0,8.91501765011694e-09
7430.0,8.874744378479657e-09
7450.0,8.834471106842373e-09
7470.0,8.794197835205089e-09
7490.0,8.753924563567805e-09
7510.0,8.71365129193052e-09
7530.0,8.673378020293236e-09
7550.0,8.633104748655952e-09
7570.0,8.592831477018668e-09
7585.77575,8.561064423767075e-09
7590.0,8.555151618575649e-09
7610.0,8.527157038749995e-09
7630.0,8.499162458924341e-09
7650.0,8.471167879098687e-09
7670.0,8.443173299273033e-09
7690.0,8.415178719447377e-09
7710.0,8.387184139621723e-09
7730.0,8.359189559796069e-09
7750.0,8.331194979970415e-09
7770.0,8.303200400144761e-09
7790.0,8.275205820319107e-09
7810.0,8.247211240493453e-09
7830.0,8.219216660667799e-09
7850.0,8.191222080842145e-09
7870.0,8.16322750101649e-09
7890.0,8.135232921190837e-09
7910.0,8.107238341365182e-09
7930.0,8.079243761539528e-09
7950.0,8.051249181713874e-09
7970.0,8.02325460188822e-09
7990.0,7.995260022062566e-09
8010.0,7.967265442236912e-09
8030.0,7.939270862411258e-09
8050.0,7.911276282585604e-09
8070.0,7.88328170275995e-09
8090.0,7.855287122934294e-09
8110.0,7.82729254310864e-09
8130.0,7.799297963282986e-09
8150.0,7.771303383457332e-09
8170.0,7.743308803631678e-09
8190.0,7.715314223806024e-09
8210.0,7.68731964398037e-09
8230.0,7.659325064154716e-09
8250.0,7.631330484329062e-09
8270.0,7.603335904503408e-09
8290.0,7.575341324677754e-09
8310.0,7.5473467448521e-09
8330.0,7.519352165026446e-09
8350.0,7.491357585200791e-09
8370.0,7.463363005375137e-09
8390.0,7.435368425549483e-09
8410.0,7.407373845723829e-09
8430.0,7.379379265898175e-09
8450.0,7.35138468607252e-09
8470.0,7.323390106246866e-09
8490.0,7.295395526421212e-09
8510.0,7.267400946595558e-09
8530.0,7.239406366769904e-09
8550.0,7.21141178694425e-09
8570.0,7.183417207118596e-09
8590.0,7.155422627292942e-09
8610.0,7.127428047467287e-09
8630.0,7.099433467641633e-09
8650.0,7.071438887815979e-09
8670.0,7.043444307990325e-09
8690.0,7.015449728164671e-09
8709.6359,6.987964789664744e-09
8710.0,6.987619721896585e-09
8730.0,6.968665161712142e-09
8750.0,6.949710601527699e-09
8770.0,6.930756041343256e-09
8790.0,6.911801481158812e-09
8810.0,6.89284692097437e-09
8830.0,6.873892360789926e-09
8850.0,6.854937800605483e-09
8870.0,6.83598324042104e-09
8890.0,6.817028680236596e-09
8910.0,6.798074120052154e-09
8930.0,6.77911955986771e-09
8950.0,6.760164999683267e-09
8970.0,6.741210439498824e-09
8990.0,6.722255879314381e-09
9010.0,6.703301319129938e-09
9030.0,6.6843467589454945e-09
9050.0,6.665392198761051e-09
9070.0,6.646437638576608e-09
9090.0,6.627483078392165e-09
